Strategy,Asset,CVaR_Contribution,Contribution_Share,VaR_Threshold,CVaR_Estimate,N_Tail_Scenarios,N_Common_Assets
EqualWeight,XLI,0.003994849170727966,0.07303693070473513,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLE,0.00380488224885735,0.06956380811214231,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLK,0.0037902599142376208,0.06929647125041845,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWF,0.003587577102637417,0.06559086690010767,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLB,0.0035588290847562358,0.06506527334196496,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWO,0.0035245113680777164,0.0644378502308849,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLY,0.0032680009529224316,0.0597481278869183,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWM,0.0031391467200375263,0.057392314869699514,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLV,0.003055494188875898,0.05586291441911525,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWN,0.0029298095461110134,0.05356505030661472,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IJH,0.002911597547628833,0.05323208442622947,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IJJ,0.002864285609316293,0.052367090877697066,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,SPY,0.002857076992160751,0.05223529734828821,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWB,0.002854045051141697,0.05217986505118621,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IWD,0.0025430522100876947,0.04649405274363648,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLF,0.0023351335157705557,0.042692721924858,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLP,0.0020232232564286624,0.03699013666467443,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,XLU,0.0014353743901589513,0.026242627791198195,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,LQD,0.00042136631512505615,0.007703745759565248,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,TIP,0.00022581233567041086,0.004128476247234335,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,AGG,8.470892058489587e-05,0.0015487141812927422,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,SHY,-0.00013067058314506855,-0.0023890209413274487,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,IEF,-0.00017431032206256323,-0.003186876492581961,0.03963679327157814,0.0546962903859947,11,24
EqualWeight,TLT,-0.00020776515011264082,-0.0037985236045521703,0.03963679327157814,0.0546962903859947,11,24
MinVar,SHY,0.0071941502642659085,0.8715610688996219,0.00459470769312732,0.008254327230734146,11,24
MinVar,AGG,0.0007054486184905692,0.08546409643948973,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLE,0.00026110299540554367,0.03163225640405354,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLP,0.00010479009767646286,0.012695171241368722,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLU,8.900993451646297e-05,0.010783426926066554,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLK,5.5171097165122666e-05,0.006683899925810878,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWN,7.673979700605127e-06,0.0009296917224255232,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLY,4.592448866062587e-09,5.563686461281874e-07,0.00459470769312732,0.008254327230734146,11,24
MinVar,IEF,3.687514747955034e-19,4.467371652319463e-17,0.00459470769312732,0.008254327230734146,11,24
MinVar,TIP,2.8025080853051293e-19,3.395198672122273e-17,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLV,1.3007391193742789e-19,1.5758269366049716e-17,0.00459470769312732,0.008254327230734146,11,24
MinVar,LQD,6.563077700151099e-20,7.951075256277881e-18,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWF,2.4419475231687532e-20,2.9583846810390682e-18,0.00459470769312732,0.008254327230734146,11,24
MinVar,TLT,1.139814336157918e-20,1.380868851326775e-18,0.00459470769312732,0.008254327230734146,11,24
MinVar,IJH,3.7071229649206954e-21,4.491126728193669e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWB,2.628936423356436e-21,3.184919073195765e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,SPY,1.3543853307130388e-21,1.6408185583800496e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWD,-2.1986540510760948e-21,-2.663638101103662e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,IJJ,-2.4426849396719724e-21,-2.9592780506409826e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLB,-3.127564775857332e-21,-3.78900022791944e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,XLI,-8.075189630480322e-21,-9.782977346007289e-19,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWO,-1.7387874160716973e-20,-2.1065162156371748e-18,0.00459470769312732,0.008254327230734146,11,24
MinVar,IWM,-1.0894502634435334e-05,-0.001319853493797867,0.00459470769312732,0.008254327230734146,11,24
