Date,Strategy,Realized,CVaR_Ex_Ante,Turnover
2009-03-31,EqualWeight,0.06904296360568148,0.09501982544849638,
2009-03-31,MinVar,0.008963419624747462,0.006055607515163816,
2009-03-31,DRP,0.025474613860634175,0.027705453062716934,
2009-03-31,MinCVaR,0.010648103148119748,0.005448625403496929,
2009-03-31,MinCVaR_Cap,0.012607937101817642,0.014494541507620667,
2009-04-30,EqualWeight,0.08216625549337833,0.10365267477054038,0.0
2009-04-30,MinVar,0.002904903418151289,0.00661005700959791,0.016035084090013106
2009-04-30,DRP,0.0202526132426794,0.032348087958782086,0.02901332548477052
2009-04-30,MinCVaR,0.0009150732530987737,0.006305057063089904,0.09777429191090989
2009-04-30,MinCVaR_Cap,-0.003552841637667088,0.014570206007256873,0.030730113602452168
2009-05-31,EqualWeight,0.03853632191969501,0.10365267477054038,0.0
2009-05-31,MinVar,0.0031764491352428816,0.006566947657258427,0.004589503884696496
2009-05-31,DRP,0.011807396107982787,0.032389038999656464,0.006181712555644632
2009-05-31,MinCVaR,0.004587287151147522,0.006305057063089904,0.0
2009-05-31,MinCVaR_Cap,0.0008817321007657858,0.014570206007256873,0.0
2009-06-30,EqualWeight,0.00252377698819623,0.10365267477054038,0.0
2009-06-30,MinVar,-0.0006276283967956249,0.004535040986672497,0.004143072137429716
2009-06-30,DRP,0.0008540078905879515,0.02755405785269967,0.04799575958056897
2009-06-30,MinCVaR,0.0007600833090862579,0.004503092912110086,0.04642677038099986
2009-06-30,MinCVaR_Cap,0.0017934035983889908,0.011058108281186058,0.060584441291676075
2009-07-31,EqualWeight,0.06265593419086704,0.10365267477054038,0.0
2009-07-31,MinVar,0.004350399210095213,0.004530648094824953,0.0008066006203315755
2009-07-31,DRP,0.01798724695806755,0.02732274249525385,0.0031925512953664913
2009-07-31,MinCVaR,0.004700928887000364,0.004503092912110087,2.0469737016526324e-16
2009-07-31,MinCVaR_Cap,0.008320946970961876,0.0110581082811861,5.100954381109801e-15
2009-08-31,EqualWeight,0.029946056095681295,0.10365267477054038,0.0
2009-08-31,MinVar,0.004581726270929546,0.004526899687594393,0.0019840426283221054
2009-08-31,DRP,0.011185838494138348,0.027630494705646116,0.0040672463400816174
2009-08-31,MinCVaR,0.004642107889394674,0.004503092912110087,0.0
2009-08-31,MinCVaR_Cap,0.008209258408839903,0.01105810828118609,2.3865458220750924e-15
2009-09-30,EqualWeight,0.03489529456753222,0.10365267477054038,0.0
2009-09-30,MinVar,0.004491798611157963,0.004526473120893554,0.0009419142250189536
2009-09-30,DRP,0.011995326449341091,0.026888411333988883,0.00970721364796577
2009-09-30,MinCVaR,0.00435257687972243,0.004503092912110087,0.0
2009-09-30,MinCVaR_Cap,0.008319920309367344,0.01105810828118609,0.0
2009-10-31,EqualWeight,-0.02544020506515139,0.10365267477054038,0.0
2009-10-31,MinVar,0.00048390677017692434,0.004737775825204635,0.012057177625905096
2009-10-31,DRP,-0.005174635510695745,0.02661890401604615,0.0026662400753971007
2009-10-31,MinCVaR,0.00071256357915124,0.004503092912110087,0.0
2009-10-31,MinCVaR_Cap,0.0011377831741772831,0.01105810828118609,0.0
2009-11-30,EqualWeight,0.045406411625358564,0.10365267477054038,0.0
2009-11-30,MinVar,0.007900311716226205,0.0045661969260331215,0.011175493681912512
2009-11-30,DRP,0.017451640213431555,0.02646784193583413,0.0023522201776250205
2009-11-30,MinCVaR,0.008170039261683928,0.004503092912110087,0.0
2009-11-30,MinCVaR_Cap,0.011806513923279362,0.01105810828118609,0.0
2009-12-31,EqualWeight,0.019818608263482078,0.10365267477054038,0.0
2009-12-31,MinVar,-0.005920330839368148,0.00456216741993319,0.0009005717812398043
2009-12-31,DRP,-0.004696589706614102,0.026679990210580026,0.003809775332362612
2009-12-31,MinCVaR,-0.005431597739564626,0.00450309291211009,2.498001805406602e-16
2009-12-31,MinCVaR_Cap,-0.01806419537272233,0.01105810828118609,0.0
2010-01-31,EqualWeight,-0.024619300080693643,0.10365267477054038,0.0
2010-01-31,MinVar,0.004244007657570516,0.00438694812119091,0.004139750272379065
2010-01-31,DRP,0.0009735430318238781,0.027279312150554548,0.007662385201698786
2010-01-31,MinCVaR,0.006345648161402406,0.004298975673315113,0.03297859000785677
2010-01-31,MinCVaR_Cap,0.01249036364786901,0.011058108281186065,5.452235884995105e-15
2010-02-28,EqualWeight,0.026581134935972493,0.10365267477054038,0.0
2010-02-28,MinVar,0.002891919911880071,0.005265067911417129,0.00736376008427499
2010-02-28,DRP,0.007642184210695961,0.02866807986569539,0.015441918440367576
2010-02-28,MinCVaR,0.0036433059217988446,0.004848612925919003,0.050912756425211286
2010-02-28,MinCVaR_Cap,0.0011590904063204094,0.014270895174743378,0.04456979796098504
2010-03-31,EqualWeight,0.04682540855659186,0.10365267477054038,0.0
2010-03-31,MinVar,0.00023470701849252198,0.005201828563468609,0.003901511611752492
2010-03-31,DRP,0.009500410820261054,0.028137506509845735,0.007277677905017124
2010-03-31,MinCVaR,0.0017094162597101818,0.004842279505521396,0.00043880465948342804
2010-03-31,MinCVaR_Cap,-0.0007277027763266323,0.014270895174743411,2.40692882291782e-15
2010-04-30,EqualWeight,0.023345070182396038,0.10365267477054038,0.0
2010-04-30,MinVar,0.003731844683352197,0.005268528668697494,0.007284432679805615
2010-04-30,DRP,0.00979496830665755,0.02794844032478803,0.0020687203117661776
2010-04-30,MinCVaR,0.003623330421328054,0.004842279505521396,0.0
2010-04-30,MinCVaR_Cap,0.009000014500887317,0.014270895174743411,0.0
2010-05-31,EqualWeight,-0.05989954035893891,0.10365267477054038,0.0
2010-05-31,MinVar,0.0006522058975633269,0.005264432070044928,0.0027377645604999166
2010-05-31,DRP,-0.010066539748281964,0.027060593499852743,0.01026618204045338
2010-05-31,MinCVaR,-0.0007724731570825094,0.0048422795055214005,2.458970527197124e-16
2010-05-31,MinCVaR_Cap,0.006005818270516111,0.014270895174743413,1.8561541192951836e-15
2010-06-30,EqualWeight,-0.040811450061900845,0.10365267477054038,0.0
2010-06-30,MinVar,0.0014103069167084228,0.005162656323647518,0.007915892970221366
2010-06-30,DRP,-0.0037866364831542704,0.02695391844754049,0.0025412732539836515
2010-06-30,MinCVaR,0.0003794515745396917,0.0048422795055214005,0.0
2010-06-30,MinCVaR_Cap,0.012776854061874976,0.014270895174743413,0.0
2010-07-31,EqualWeight,0.05486441965188618,0.10365267477054038,0.0
2010-07-31,MinVar,0.005170173159165995,0.005153694326575658,0.00458620900767577
2010-07-31,DRP,0.01568845219566616,0.026940393821825545,0.007121786088279412
2010-07-31,MinCVaR,0.006450790005699357,0.0048422795055214005,0.0
2010-07-31,MinCVaR_Cap,0.00928166942834353,0.014270895174743413,0.0
2010-08-31,EqualWeight,-0.0310173237039309,0.10365267477054038,0.0
2010-08-31,MinVar,-0.00038329254117530154,0.005129921054510924,0.0017105292303843803
2010-08-31,DRP,-0.0014907875502910423,0.02706746128399106,0.0046087340648085645
2010-08-31,MinCVaR,-0.0014222914008385442,0.0048422795055214005,0.0
2010-08-31,MinCVaR_Cap,0.011441915827102113,0.014270895174743413,0.0
2010-09-30,EqualWeight,0.06959240754417903,0.10365267477054038,0.0
2010-09-30,MinVar,0.006174627620467721,0.0053361337138930895,0.013170939803213771
2010-09-30,DRP,0.017593042505011293,0.02671682982281756,0.004313242087787393
2010-09-30,MinCVaR,0.008148606097979096,0.0048422795055214005,0.0
2010-09-30,MinCVaR_Cap,0.002123238740430396,0.014270895174743413,0.0
2010-10-31,EqualWeight,0.028391647172019186,0.10365267477054038,0.0
2010-10-31,MinVar,0.004426169826467735,0.005175439841096937,0.01138968056320213
2010-10-31,DRP,0.007999715288974887,0.026826794401549982,0.003779621282460524
2010-10-31,MinCVaR,0.005629724192238716,0.0048422795055214005,0.0
2010-10-31,MinCVaR_Cap,0.002201317220002072,0.014270895174743413,0.0
2010-11-30,EqualWeight,0.0035539116117178507,0.10365267477054038,0.0
2010-11-30,MinVar,-0.002655175667585969,0.005127062980600876,0.004929632865887253
2010-11-30,DRP,-0.0025508492971989616,0.025904066977828082,0.00886820145167487
2010-11-30,MinCVaR,-0.0030013223266960407,0.004842279505521399,2.7289368681460147e-16
2010-11-30,MinCVaR_Cap,-0.007368229418755099,0.01427089517474343,8.795048023202412e-16
2010-12-31,EqualWeight,0.04797206879119127,0.10365267477054038,0.0
2010-12-31,MinVar,0.0007133954721663756,0.005168445489026488,0.0047976035486931275
2010-12-31,DRP,0.006791644083937084,0.025223690764537354,0.007761378853585741
2010-12-31,MinCVaR,0.0019325577503657505,0.004842279505521397,1.0061396160665481e-16
2010-12-31,MinCVaR_Cap,-0.006008745063638346,0.01427089517474343,0.0
2011-01-31,EqualWeight,0.011903313955549662,0.10365267477054038,0.0
2011-01-31,MinVar,0.002386418571260992,0.005288706822320173,0.01094924509477069
