Date,Strategy,Asset,Weight
2009-03-31,MinCVaR_Cap,IVV,0.0
2009-03-31,MinCVaR_Cap,IWB,0.0
2009-03-31,MinCVaR_Cap,IWD,0.0
2009-03-31,MinCVaR_Cap,IWF,0.0
2009-03-31,MinCVaR_Cap,IWM,0.0
2009-03-31,MinCVaR_Cap,IWN,0.0
2009-03-31,MinCVaR_Cap,IWO,0.0
2009-03-31,MinCVaR_Cap,LQD,0.03073011360244956
2009-03-31,MinCVaR_Cap,SHY,0.4000000000000006
2009-03-31,MinCVaR_Cap,SPY,0.0
2009-03-31,MinCVaR_Cap,TIP,0.0
2009-03-31,MinCVaR_Cap,TLT,0.0
2009-03-31,MinCVaR_Cap,VTI,0.0
2009-03-31,MinCVaR_Cap,XLB,0.0
2009-03-31,MinCVaR_Cap,XLE,0.0
2009-03-31,MinCVaR_Cap,XLF,0.0
2009-03-31,MinCVaR_Cap,XLI,0.0
2009-03-31,MinCVaR_Cap,XLK,0.0
2009-03-31,MinCVaR_Cap,XLP,0.0
2009-03-31,MinCVaR_Cap,XLU,0.0
2009-03-31,MinCVaR_Cap,XLV,0.021956974288006886
2009-03-31,MinCVaR_Cap,XLY,0.0
2009-04-30,EqualWeight,AGG,0.037037037037037035
2009-04-30,EqualWeight,IEF,0.037037037037037035
2009-04-30,EqualWeight,IJH,0.037037037037037035
2009-04-30,EqualWeight,IJJ,0.037037037037037035
2009-04-30,EqualWeight,ITOT,0.037037037037037035
2009-04-30,EqualWeight,IVV,0.037037037037037035
2009-04-30,EqualWeight,IWB,0.037037037037037035
2009-04-30,EqualWeight,IWD,0.037037037037037035
2009-04-30,EqualWeight,IWF,0.037037037037037035
2009-04-30,EqualWeight,IWM,0.037037037037037035
2009-04-30,EqualWeight,IWN,0.037037037037037035
2009-04-30,EqualWeight,IWO,0.037037037037037035
2009-04-30,EqualWeight,LQD,0.037037037037037035
2009-04-30,EqualWeight,SHY,0.037037037037037035
2009-04-30,EqualWeight,SPY,0.037037037037037035
2009-04-30,EqualWeight,TIP,0.037037037037037035
2009-04-30,EqualWeight,TLT,0.037037037037037035
2009-04-30,EqualWeight,VTI,0.037037037037037035
2009-04-30,EqualWeight,XLB,0.037037037037037035
2009-04-30,EqualWeight,XLE,0.037037037037037035
2009-04-30,EqualWeight,XLF,0.037037037037037035
2009-04-30,EqualWeight,XLI,0.037037037037037035
2009-04-30,EqualWeight,XLK,0.037037037037037035
2009-04-30,EqualWeight,XLP,0.037037037037037035
2009-04-30,EqualWeight,XLU,0.037037037037037035
2009-04-30,EqualWeight,XLV,0.037037037037037035
2009-04-30,EqualWeight,XLY,0.037037037037037035
2009-04-30,MinVar,AGG,0.0
2009-04-30,MinVar,IEF,5.3232711112232995e-17
2009-04-30,MinVar,IJH,0.0
2009-04-30,MinVar,IJJ,7.264423129901874e-19
2009-04-30,MinVar,ITOT,0.0
2009-04-30,MinVar,IVV,1.1150431650114614e-17
2009-04-30,MinVar,IWB,1.2589136666004358e-18
2009-04-30,MinVar,IWD,0.0
2009-04-30,MinVar,IWF,1.0851271353228877e-17
2009-04-30,MinVar,IWM,0.0
2009-04-30,MinVar,IWN,0.0
2009-04-30,MinVar,IWO,0.0
2009-04-30,MinVar,LQD,0.0
2009-04-30,MinVar,SHY,0.9513733683275493
2009-04-30,MinVar,SPY,0.0
2009-04-30,MinVar,TIP,1.4533733196183707e-18
2009-04-30,MinVar,TLT,2.36598301090867e-18
2009-04-30,MinVar,VTI,0.0
2009-04-30,MinVar,XLB,0.0
2009-04-30,MinVar,XLE,0.014573216337247593
2009-04-30,MinVar,XLF,0.0
2009-04-30,MinVar,XLI,0.0
2009-04-30,MinVar,XLK,0.03405341533520328
2009-04-30,MinVar,XLP,0.0
2009-04-30,MinVar,XLU,3.1097753399095923e-18
2009-04-30,MinVar,XLV,6.316247026526721e-18
2009-04-30,MinVar,XLY,0.0
2009-04-30,DRP,AGG,0.04941144733278389
2009-04-30,DRP,IEF,0.05542881588184683
2009-04-30,DRP,IJH,0.010036399583043719
2009-04-30,DRP,IJJ,0.009699997849627445
2009-04-30,DRP,ITOT,0.011487778926552998
2009-04-30,DRP,IVV,0.011925131427495479
2009-04-30,DRP,IWB,0.011639352141762118
2009-04-30,DRP,IWD,0.010858171495076924
2009-04-30,DRP,IWF,0.012209212278196874
2009-04-30,DRP,IWM,0.009253580711307557
2009-04-30,DRP,IWN,0.009083796790072568
2009-04-30,DRP,IWO,0.009165419157521318
2009-04-30,DRP,LQD,0.025075579151064332
2009-04-30,DRP,SHY,0.5735007739706852
2009-04-30,DRP,SPY,0.01181754570186337
2009-04-30,DRP,TIP,0.031310762432687544
2009-04-30,DRP,TLT,0.025707417134721466
2009-04-30,DRP,VTI,0.011365256902746625
2009-04-30,DRP,XLB,0.010015133369161225
2009-04-30,DRP,XLE,0.012311341413024425
2009-04-30,DRP,XLF,0.007822261769240639
2009-04-30,DRP,XLI,0.009770770972570801
2009-04-30,DRP,XLK,0.011892784672934122
2009-04-30,DRP,XLP,0.018201144391512047
2009-04-30,DRP,XLU,0.014692885333986444
2009-04-30,DRP,XLV,0.015397816776828542
2009-04-30,DRP,XLY,0.01091942243168539
2009-04-30,MinCVaR,AGG,0.0
2009-04-30,MinCVaR,IEF,0.0
2009-04-30,MinCVaR,IJH,0.0
2009-04-30,MinCVaR,IJJ,0.0
2009-04-30,MinCVaR,ITOT,0.0
2009-04-30,MinCVaR,IVV,0.0
2009-04-30,MinCVaR,IWB,0.0
2009-04-30,MinCVaR,IWD,0.0
2009-04-30,MinCVaR,IWF,0.0
2009-04-30,MinCVaR,IWM,0.0
2009-04-30,MinCVaR,IWN,0.0
2009-04-30,MinCVaR,IWO,0.0
2009-04-30,MinCVaR,LQD,0.0
2009-04-30,MinCVaR,SHY,0.9666246517482951
2009-04-30,MinCVaR,SPY,0.0
2009-04-30,MinCVaR,TIP,0.0
2009-04-30,MinCVaR,TLT,0.0
2009-04-30,MinCVaR,VTI,0.0
2009-04-30,MinCVaR,XLB,0.0
2009-04-30,MinCVaR,XLE,0.03337534825170489
2009-04-30,MinCVaR,XLF,0.0
2009-04-30,MinCVaR,XLI,0.0
2009-04-30,MinCVaR,XLK,0.0
2009-04-30,MinCVaR,XLP,0.0
2009-04-30,MinCVaR,XLU,0.0
2009-04-30,MinCVaR,XLV,0.0
2009-04-30,MinCVaR,XLY,0.0
2009-04-30,MinCVaR_Cap,AGG,0.39999999999999925
2009-04-30,MinCVaR_Cap,IEF,0.17668961457694568
2009-04-30,MinCVaR_Cap,IJH,0.0
2009-04-30,MinCVaR_Cap,IJJ,0.0
2009-04-30,MinCVaR_Cap,ITOT,0.0
2009-04-30,MinCVaR_Cap,IVV,0.0
2009-04-30,MinCVaR_Cap,IWB,0.0
2009-04-30,MinCVaR_Cap,IWD,0.0
2009-04-30,MinCVaR_Cap,IWF,0.0
2009-04-30,MinCVaR_Cap,IWM,0.0
2009-04-30,MinCVaR_Cap,IWN,0.0
2009-04-30,MinCVaR_Cap,IWO,0.0
2009-04-30,MinCVaR_Cap,LQD,0.0
2009-04-30,MinCVaR_Cap,SHY,0.39999999999999925
2009-04-30,MinCVaR_Cap,SPY,0.0
2009-04-30,MinCVaR_Cap,TIP,2.147675585142153e-05
2009-04-30,MinCVaR_Cap,TLT,0.0
2009-04-30,MinCVaR_Cap,VTI,0.0
2009-04-30,MinCVaR_Cap,XLB,0.0
2009-04-30,MinCVaR_Cap,XLE,0.0
2009-04-30,MinCVaR_Cap,XLF,0.0
2009-04-30,MinCVaR_Cap,XLI,0.0
2009-04-30,MinCVaR_Cap,XLK,0.0
2009-04-30,MinCVaR_Cap,XLP,0.0
2009-04-30,MinCVaR_Cap,XLU,0.0
2009-04-30,MinCVaR_Cap,XLV,0.023288908667204428
2009-04-30,MinCVaR_Cap,XLY,0.0
2009-05-31,EqualWeight,AGG,0.037037037037037035
2009-05-31,EqualWeight,IEF,0.037037037037037035
2009-05-31,EqualWeight,IJH,0.037037037037037035
2009-05-31,EqualWeight,IJJ,0.037037037037037035
2009-05-31,EqualWeight,ITOT,0.037037037037037035
2009-05-31,EqualWeight,IVV,0.037037037037037035
2009-05-31,EqualWeight,IWB,0.037037037037037035
2009-05-31,EqualWeight,IWD,0.037037037037037035
2009-05-31,EqualWeight,IWF,0.037037037037037035
2009-05-31,EqualWeight,IWM,0.037037037037037035
2009-05-31,EqualWeight,IWN,0.037037037037037035
2009-05-31,EqualWeight,IWO,0.037037037037037035
2009-05-31,EqualWeight,LQD,0.037037037037037035
2009-05-31,EqualWeight,SHY,0.037037037037037035
2009-05-31,EqualWeight,SPY,0.037037037037037035
2009-05-31,EqualWeight,TIP,0.037037037037037035
2009-05-31,EqualWeight,TLT,0.037037037037037035
2009-05-31,EqualWeight,VTI,0.037037037037037035
2009-05-31,EqualWeight,XLB,0.037037037037037035
2009-05-31,EqualWeight,XLE,0.037037037037037035
2009-05-31,EqualWeight,XLF,0.037037037037037035
2009-05-31,EqualWeight,XLI,0.037037037037037035
2009-05-31,EqualWeight,XLK,0.037037037037037035
2009-05-31,EqualWeight,XLP,0.037037037037037035
2009-05-31,EqualWeight,XLU,0.037037037037037035
2009-05-31,EqualWeight,XLV,0.037037037037037035
2009-05-31,EqualWeight,XLY,0.037037037037037035
2009-05-31,MinVar,AGG,2.0816681711721685e-17
2009-05-31,MinVar,IEF,0.0
2009-05-31,MinVar,IJH,3.469446951953614e-18
2009-05-31,MinVar,IJJ,1.734723475976807e-18
2009-05-31,MinVar,ITOT,0.0
2009-05-31,MinVar,IVV,1.734723475976807e-18
2009-05-31,MinVar,IWB,0.0
2009-05-31,MinVar,IWD,0.0
2009-05-31,MinVar,IWF,1.734723475976807e-18
2009-05-31,MinVar,IWM,0.0
2009-05-31,MinVar,IWN,0.0
