Strategy,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Calmar,CVaR_Breach_Rate,Nominal_Breach_Rate,Turnover,Skew,Excess_Kurt,N_Months
EqualWeight,0.10975747523992302,0.12059471347624755,0.9101350471846427,-0.19624606042259127,0.5592849864276208,0.02926829268292683,0.050000000000000044,0.0,-0.5550308829819504,1.4409146813764244,205
MinVar,0.017488328907667505,0.013897920613412308,1.2583414018634012,-0.0513219918601383,0.3407570180698824,0.04878048780487805,0.050000000000000044,0.008230779981545859,-0.2866709822111493,2.3143394551616567,205
DRP,0.04272206838477291,0.04342713114441533,0.9837644638026455,-0.10869232507582806,0.39305506028110365,0.04878048780487805,0.050000000000000044,0.0129108363722947,-0.5256239985181377,1.6230258573528933,205
MinCVaR,0.018332088582969495,0.015741956315888306,1.1645368729976069,-0.05291266142873718,0.346459393422483,0.07317073170731707,0.050000000000000044,0.004286366541960063,-0.5335064027188664,3.2771706656328816,205
MinCVaR_Cap,0.028516686105506308,0.03341303190821065,0.8534599968013932,-0.11222025169778525,0.25411354612091913,0.07317073170731707,0.050000000000000044,0.0170805888179562,-0.6283947645171848,1.9574642416357109,205
